id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Ghost Light,Delta Hollow,blues,sad,0.31,75,0.22,0.38,0.91
12,Neon Crown,Cipher Jones,hip-hop,energetic,0.87,96,0.62,0.91,0.08
13,Moonlit Sonata,Vera Klass,classical,melancholic,0.24,68,0.18,0.21,0.98
14,Fuego Lento,Casa del Sol,latin,uplifting,0.78,105,0.88,0.93,0.44
15,Pulse of the Grid,Synthex,EDM,euphoric,0.97,135,0.83,0.96,0.04
16,Ember Fields,Dusty Hollow,country,nostalgic,0.51,88,0.66,0.57,0.83
17,Velvet Hours,Sable & June,R&B,romantic,0.45,82,0.79,0.64,0.52
18,Iron Tide,Wrathborn,metal,angry,0.96,168,0.14,0.33,0.06
19,Afternoon Drift,Paper Lanterns,lofi,chill,0.38,74,0.64,0.56,0.88
20,Electric Feel,Neon Echo,pop,happy,0.80,122,0.87,0.85,0.14
21,Hollow Road,Delta Hollow,blues,sad,0.33,70,0.19,0.35,0.93
22,Deadlift Anthem,Max Pulse,rock,intense,0.94,148,0.45,0.71,0.07
23,Crystal Cave,Orbit Bloom,ambient,chill,0.25,55,0.68,0.38,0.95
24,Smoke & Honey,Sable & June,R&B,romantic,0.48,86,0.82,0.68,0.49
25,Barrio Gold,Casa del Sol,latin,uplifting,0.81,108,0.91,0.90,0.38
26,Binary Rain,Synthex,EDM,euphoric,0.95,140,0.80,0.94,0.03
27,Quiet Storm,Slow Stereo,jazz,relaxed,0.34,88,0.73,0.52,0.91
28,Gravel & Grace,Dusty Hollow,country,nostalgic,0.49,84,0.70,0.61,0.80
29,Wrath Engine,Wrathborn,metal,angry,0.98,172,0.10,0.28,0.04
30,Cipher Streets,Cipher Jones,hip-hop,energetic,0.85,98,0.65,0.89,0.10
31,Lullaby Protocol,LoRoom,lofi,focused,0.36,76,0.55,0.58,0.82
32,Velvet Cosmos,Vera Klass,classical,melancholic,0.22,64,0.20,0.18,0.99
33,Flashbulb Memory,Indigo Parade,indie pop,happy,0.74,126,0.83,0.80,0.30
34,Voltage Drop,Voltline,rock,intense,0.89,156,0.50,0.68,0.08
35,Golden Hour Tape,Paper Lanterns,lofi,chill,0.40,72,0.62,0.60,0.85
36,Midnight Serenade,Sable & June,R&B,romantic,0.43,80,0.84,0.66,0.55
37,Tropicana Rush,Casa del Sol,latin,uplifting,0.83,112,0.90,0.92,0.32
38,Hyperspace,Synthex,EDM,euphoric,0.96,138,0.78,0.95,0.02
39,Blue Fog Morning,Delta Hollow,blues,sad,0.29,68,0.16,0.30,0.96
40,Cardboard Kingdom,Slow Stereo,jazz,relaxed,0.39,92,0.69,0.55,0.87
41,Porch Swing Summer,Dusty Hollow,country,nostalgic,0.53,86,0.72,0.63,0.78
42,Static Crown,Cipher Jones,hip-hop,energetic,0.88,100,0.60,0.87,0.12
43,Starfield Lullaby,Orbit Bloom,ambient,chill,0.22,52,0.70,0.35,0.97
44,Iron Bloom,Wrathborn,metal,intense,0.94,164,0.18,0.35,0.05
45,Lavender Arcade,Neon Echo,synthwave,moody,0.72,114,0.52,0.77,0.20
46,First Frost,Vera Klass,classical,melancholic,0.20,60,0.15,0.20,0.98
47,Dusk Parade,Indigo Parade,indie pop,happy,0.77,120,0.85,0.84,0.28
48,Locked In,LoRoom,lofi,focused,0.41,78,0.57,0.62,0.80
49,Deep Meridian,Orbit Bloom,ambient,chill,0.26,58,0.66,0.40,0.94
50,Soulfire,Max Pulse,pop,energetic,0.91,128,0.80,0.90,0.06
51,Rain Ritual,Delta Hollow,blues,melancholic,0.35,72,0.25,0.40,0.90
52,Cobalt City,Voltline,rock,intense,0.92,150,0.44,0.65,0.09
53,Slow Burn,Sable & June,R&B,romantic,0.46,84,0.81,0.67,0.51
54,Backseat Frequency,Neon Echo,pop,happy,0.78,120,0.88,0.82,0.16
55,Fiesta Nocturna,Casa del Sol,latin,uplifting,0.85,106,0.89,0.91,0.36
56,Phase Shift,Synthex,EDM,euphoric,0.97,142,0.82,0.96,0.03
57,Tin Roof Blues,Slow Stereo,jazz,relaxed,0.36,86,0.67,0.50,0.92
58,Red Dust Road,Dusty Hollow,country,nostalgic,0.50,90,0.68,0.59,0.81
59,Neural Grind,Cipher Jones,hip-hop,intense,0.86,104,0.55,0.86,0.09
60,Sleepless Archive,LoRoom,lofi,chill,0.37,76,0.60,0.57,0.84
61,Broken Tempo,Voltline,rock,moody,0.80,138,0.38,0.62,0.12
62,Chamber Waltz,Vera Klass,classical,relaxed,0.26,72,0.28,0.25,0.97
63,Heatwave Sunday,Indigo Parade,indie pop,happy,0.75,122,0.84,0.81,0.32
64,Dark Current,Wrathborn,metal,angry,0.97,170,0.12,0.30,0.05
65,Signal Horizon,Neon Echo,synthwave,moody,0.74,112,0.50,0.75,0.21
66,Morning Commute,Paper Lanterns,lofi,focused,0.39,80,0.58,0.61,0.83
67,Silk & Thunder,Sable & June,R&B,romantic,0.47,82,0.83,0.70,0.48
68,Carnival Smoke,Casa del Sol,latin,uplifting,0.82,110,0.92,0.93,0.40
